G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9
1.0,79.7385788,89.92420197,847.6032715
1.0,79.81775665,89.96543884,849.1508179
1.0,79.58029175,90.03069305,850.8831787
1.0,80.08390808,90.36472321,853.3272705
1.0,79.83924866,90.64299774,853.6499634
1.0,80.25653076,90.96065521,856.3607178
1.0,80.23477173,90.96999359,856.7383423
1.0,80.09830475,90.90691376,857.2057495
1.0,80.65965271,91.30908966,860.3703613
1.0,80.27824402,91.13389587,860.4385376
1.0,79.83947754,90.95969391,861.5321655
1.0,80.1344986,91.09577179,862.5702515
1.0,80.47250366,91.28346252,864.6811523
1.0,79.92572021,91.147789,864.4369507
1.0,80.63793182,91.61673737,868.0396118
1.0,80.52284241,91.32271576,865.9401245
1.0,79.68108368,90.81439209,865.6083984
1.0,79.94721222,90.75857544,867.4413452
1.0,79.99035645,90.71659851,869.1888428
1.0,80.39328766,91.36200714,870.7532349
1.0,79.94007874,91.12548828,872.9958496
1.0,79.84640503,91.02574158,870.8816528
1.0,80.3861618,91.15167236,875.2339478
1.0,79.83200836,90.80186462,874.6561279
1.0,79.50830078,90.81406403,876.0661011
1.0,80.24938202,91.21282196,875.9442749
1.0,80.32141876,91.29903412,876.4302979
1.0,80.40050507,91.50679016,877.7637939
1.0,79.93998718,91.55340576,877.6331787
1.0,79.70983887,91.46802521,877.5343018
1.0,79.85370636,91.51754761,877.2670898
1.0,80.0981369,91.55928802,880.7642822
1.0,79.95441437,91.42344666,879.5283203
1.0,79.87528229,91.16525269,880.6220093
1.0,79.83924866,91.23678589,881.2376099
1.0,79.20622253,91.14358521,879.7143555
1.0,79.65218353,91.23873138,880.6018677
1.0,79.1270752,90.2000885,878.171875
1.0,79.17741394,90.12036896,880.100647
1.0,79.23514557,90.08844757,878.87854
1.0,79.25644684,90.00357056,880.8410034
1.0,78.87519836,89.68973541,880.7172852
1.0,78.73116302,89.80696869,881.565979
1.0,79.40036774,90.01113892,882.800293
1.0,78.73139954,89.88896942,879.7181396
1.0,79.09107208,90.09603882,881.5738525
1.0,78.86797333,89.98719025,879.8912354
1.0,79.65229797,90.31929016,883.4241943
1.0,78.52277374,89.7831192,879.9760742
1.0,78.92550659,89.74204254,879.1140137
1.0,78.70968628,89.53379822,877.0947876
1.0,78.83920288,89.63874054,879.4365234
1.0,79.27818298,89.91632843,880.890564
1.0,78.90406799,89.61872864,879.5305176
1.0,79.0908432,89.72105408,880.0003052
1.0,78.86067963,89.52194214,877.387085
1.0,78.69525909,89.58748627,875.3883057
1.0,78.72406006,89.36688995,873.5006104
