G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9,G2.L63QTX
0.0,0.07176399231,0.0,79.92061615,0.0
0.0,0.0686712563,0.0,79.96296692,0.0
0.0,0.08671656251,0.0,79.87307739,0.0
0.0,0.09790882468,0.0,80.0835495,0.0
0.0,0.07202476263,0.0,80.13430786,0.0
0.0,0.07201433182,0.0,80.11824799,0.0
0.0,0.07048621774,0.0,80.0298233,0.0
0.0,0.06756559014,0.0,80.17575836,0.0
0.0,0.08075535297,0.0,79.9223175,0.0
0.0,0.08327960968,0.0,79.92739868,0.0
0.0,0.03580898046,0.0,79.98474121,0.0
0.0,0.07053315639,0.0,79.83341217,0.0
0.0,0.07209777832,0.0,79.71867371,0.0
0.0,0.05102753639,0.0,79.64617157,0.0
0.0,0.03350898623,0.0,79.46128082,0.0
0.0,0.1159019768,0.0,79.23936462,0.0
0.0,0.03792122006,0.0,79.05782318,0.0
0.0,0.100146234,0.0,79.03089142,0.0
0.0,0.04051849246,0.0,78.6733551,0.0
0.0,0.04084706306,0.0,78.36351013,0.0
0.0,0.03552734852,0.0,78.2767868,0.0
0.0,0.06316378713,0.0,78.01540375,0.0
0.0,0.03703460097,0.0,77.77105713,0.0
0.0,0.05431845784,0.0,77.73690033,0.0
0.0,0.03857836127,0.0,77.40023041,0.0
0.0,0.04070624709,0.0,77.07217407,0.0
0.0,0.03993436694,0.0,76.89302826,0.0
0.0,0.03431215882,0.0,76.7864151,0.0
0.0,0.04178583622,0.0,76.53359222,0.0
0.0,-0.003439560533,0.0,76.2381897,0.0
0.0,0.0401481986,0.0,76.0689621,0.0
0.0,0.02412647009,0.0,76.0070343,0.0
0.0,0.02782419324,0.0,75.91664886,0.0
0.0,0.007651001215,0.0,75.67301941,0.0
0.0,0.02096071839,0.0,75.67944336,0.0
0.0,0.002633780241,0.0,75.48425293,0.0
0.0,-0.01102797687,0.0,75.42340851,0.0
0.0,-0.02621263266,0.0,75.07398987,0.0
0.0,-0.003215298057,0.0,75.08408356,0.0
0.0,0.005215406418,0.0,75.05285645,0.0
0.0,0.00810995698,0.0,74.81127167,0.0
0.0,-0.004313141108,0.0,74.60723877,0.0
0.0,-0.01983940601,0.0,74.63019562,0.0
0.0,-0.003316998482,0.0,74.54547882,0.0
0.0,0.0111296773,0.0,74.42363739,0.0
0.0,-0.004075840116,0.0,73.9890213,0.0
0.0,-0.05516074598,0.0,73.81770325,0.0
0.0,-0.002177432179,0.0,73.90776062,0.0
0.0,0.01136958599,0.0,73.49961853,0.0
0.0,0.01027956605,0.0,73.43584442,0.0
0.0,-0.02104155719,0.0,73.37975311,0.0
0.0,-0.01836083829,0.0,73.27843475,0.0
0.0,-0.01788362861,0.0,73.12712097,0.0
0.0,-0.01099407673,0.0,73.06542206,0.0
0.0,-0.003254413605,0.0,72.99030304,0.0
0.0,-0.03817155957,0.0,72.77576447,0.0
0.0,-0.0390842557,0.0,72.62883759,0.0
0.0,-0.04833899438,0.0,72.61980438,0.0
0.0,-0.03255195916,0.0,72.53443909,0.0
0.0,-0.0563967973,0.0,72.4358139,0.0
0.0,-0.02553723752,0.0,72.18527222,0.0
0.0,-0.03735795617,0.0,72.3334198,0.0
0.0,-0.002474710345,0.0,72.44006348,0.0
0.0,-0.04106089473,0.0,72.24123383,0.0
0.0,-0.05699396133,0.0,72.26780701,0.0
0.0,-0.02660639584,0.0,72.12072754,0.0
0.0,-0.00377073884,0.0,72.07032776,0.0
0.0,-0.02311207354,0.0,71.93550873,0.0
0.0,-0.02555549145,0.0,72.06898499,0.0
0.0,-0.03401488066,0.0,72.04331207,0.0
0.0,-0.05589872599,0.0,72.00637054,0.0
0.0,-0.05143433809,0.0,71.98162842,0.0
0.0,-0.008201226592,0.0,72.01537323,0.0
0.0,-0.03976225853,0.0,72.07980347,0.0
0.0,-0.03687553108,0.0,72.04079437,0.0
0.0,-0.04951506853,0.0,71.95878601,0.0
0.0,-0.04163980484,0.0,71.8546524,0.0
0.0,-0.003452599049,0.0,71.85662079,0.0
0.0,-0.004941597581,0.0,72.04875183,0.0
0.0,-0.03587417305,0.0,72.05430603,0.0
0.0,-0.0396553427,0.0,71.93139648,0.0
0.0,-0.04978366196,0.0,72.06555176,0.0
0.0,-0.03422610462,0.0,71.94697571,0.0
0.0,-0.006957352161,0.0,71.89079285,0.0
0.0,-0.02131275833,0.0,71.88851929,0.0
0.0,-0.03537870944,0.0,72.00961304,0.0
0.0,-0.02101548016,0.0,72.10601044,0.0
0.0,-0.04175715148,0.0,71.92175293,0.0
0.0,-0.02522431314,0.0,71.94799042,0.0
0.0,-0.02143532038,0.0,72.00228119,0.0
0.0,-0.01817569137,0.0,71.88315582,0.0
0.0,-0.02168305218,0.0,71.93369293,0.0
0.0,-0.05648285151,0.0,72.0306015,0.0
0.0,-0.009520724416,0.0,71.94129944,0.0
0.0,-0.003395229578,0.0,72.01842499,0.0
0.0,-0.02611093223,0.0,71.95172119,0.0
0.0,-0.05025565624,0.0,71.94968414,0.0
0.0,-0.05152560771,0.0,71.70619202,0.0
0.0,-0.03916248679,0.0,72.00183868,0.0
0.0,-0.02566240728,0.0,71.87459564,0.0
0.0,-0.02100765705,0.0,72.05614471,0.0
0.0,-0.01861900091,0.0,71.98032379,0.0
0.0,-0.04129298031,0.0,72.17805481,0.0
0.0,-0.01891367137,0.0,72.11029053,0.0
0.0,-0.02511739731,0.0,72.03333282,0.0
0.0,0.009538978338,0.0,72.09544373,0.0
0.0,-0.02361536026,0.0,72.17831421,0.0
0.0,-0.008892267942,0.0,72.19494629,0.0
0.0,-0.01861900091,0.0,72.12482452,0.0
0.0,-0.04012733698,0.0,72.03329468,0.0
0.0,-0.008960068226,0.0,72.09690094,0.0
0.0,-0.03395229578,0.0,71.98937988,0.0
0.0,-0.03491193056,0.0,72.16546631,0.0
0.0,-0.009061768651,0.0,72.27938843,0.0
0.0,-0.0117816031,0.0,72.16912079,0.0
0.0,-0.007077306509,0.0,72.09277344,0.0
0.0,-0.01861900091,0.0,72.11506653,0.0
0.0,-0.02517998219,0.0,72.10505676,0.0
0.0,-0.02508349717,0.0,72.15840912,0.0
0.0,-0.03318823874,0.0,72.10394287,0.0
0.0,-0.004704296589,0.0,72.32324982,0.0
0.0,-0.04006735981,0.0,72.13900757,0.0
0.0,-0.05570575595,0.0,72.11711121,0.0
0.0,-0.01941174269,0.0,72.3991394,0.0
0.0,-0.008336827159,0.0,72.15831757,0.0
